BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,58000000,$,BiographyDrama,PG-13,December,8.2,135,A Beautiful Mind,2001
Color,,,ActionComedyCrimeDrama,,March,8.2,156,Hera Pheri,2000
Color,960000,GBP,ActionComedyCrime,R,March,8.2,120,"Lock, Stock and Two Smoking Barrels",1998
Color,35000000,$,CrimeDramaMysteryThriller,R,September,8.2,138,L.A. Confidential,1997
Color,1200000,TRL,CrimeDramaThriller,,November,8.2,128,The Bandit,1996
Color,60000000,$,CrimeDramaThriller,R,December,8.2,170,Heat,1995
Color,52000000,$,CrimeDrama,R,November,8.2,178,Casino,1995
Color,14400000,$,DramaWestern,R,August,8.2,130,Unforgiven,1992
Color,48000000,$,ActionAdventure,PG-13,May,8.2,127,Indiana Jones and the Last Crusade,1989
Color,,,ComedyCrimeDramaFantasy,,February,8.2,270,Time of the Gypsies,1988
Color,3700000,$,AnimationFamilyFantasy,,September,8.2,86,My Neighbor Totoro,1988
Color,28000000,$,ActionThriller,,July,8.2,132,Die Hard,1988
Color,11500000,$,ActionDramaWar,,July,8.2,162,Ran,1985
Black and White,18000000,$,BiographyDramaSport,,November,8.2,121,Raging Bull,1980
Color,,,DramaMusic,,October,8.2,99,Autumn Sonata,1978
Color,10000000,$,BiographyDramaHistoryWar,,July,8.2,177,The Message,1976
Color,,,ActionAdventureComedyDramaMusicalThrillerWestern,,August,8.2,246,Sholay,1975
Color,229575,GBP,AdventureComedyFantasy,,June,8.2,91,Monty Python and the Holy Grail,1975
Color,6000000,$,DramaMysteryThriller,,June,8.2,130,Chinatown,1974
Color,600000,$,Western,R,May,8.2,132,For a Few Dollars More,1965
Color,4000000,$,AdventureDramaHistoryThrillerWar,,July,8.2,172,The Great Escape,1963
Black and White,,,ActionDramaThriller,,July,8.2,110,Yojimbo,1961
Black and White,3000000,$,DramaWar,,December,8.2,179,Judgment at Nuremberg,1961
Black and White,2883848,$,ComedyMusicRomance,,Goofs,8.2,121,Some Like It Hot,1959
Black and White,,,DramaRomance,,June,8.2,91,Wild Strawberries,1957
Black and White,150000,$,DramaFantasyHistoryThriller,,October,8.2,96,The Seventh Seal,1957
Color,1400000,$,CrimeThriller,,April,8.2,105,Dial M for Murder,1954
Black and White,,,Drama,,March,8.2,136,Tokyo Story,1953
Black and White,250000,$,CrimeDramaMystery,,July,8.2,88,Rashomon,1950
Black and White,1400000,$,Drama,,October,8.2,138,All About Eve,1950
Black and White,3000000,$,AdventureDramaWestern,,January,8.2,126,The Treasure of the Sierra Madre,1948
Black and White,,,ComedyRomanceWar,,March,8.2,99,To Be or Not to Be,1942
Black and White,923000,$,AdventureComedyDramaWestern,,Taglines,8.2,88,The Gold Rush,1925
Black and White,,,ActionComedyRomance,,May,8.2,49,Sherlock Jr.,1924
Color,,,DramaRomance,R,December,8.1,122,Portrait of a Lady on Fire,2019
Color,,,DramaThriller,,September,8.1,136,Pink,2016
Color,15000000,$,ComedyCrimeDrama,R,November,8.1,115,"Three Billboards Outside Ebbing, Missouri",2017
Color,4000000,EUR,CrimeDramaMysteryThriller,,January,8.1,106,The Invisible Guest,2016
Color,10000000000,KRW,DramaRomanceThriller,,October,8.1,168,The Handmaiden,2016
Color,,,Drama,R,September,8.1,139,Mommy,2014
Color,370000000,INR,ActionCrimeDramaThriller,,October,8.1,160,Haider,2014
Color,97000000,$,ActionDramaSci-FiThriller,R,March,8.1,122,Logan,2017
Color,13000000,$,DramaThriller,R,October,8.1,118,Room,2015
Color,3300000,$,ComedyDramaThriller,R,February,8.1,122,Wild Tales,2014
Color,,,AdventureAnimationComedyFamilyFantasyMusic,PG,December,8.1,100,Soul,2020
Color,,,Drama,,June,8.1,196,Winter Sleep,2014
Color,,,ComedyDramaMusicalSci-Fi,,December,8.1,153,PK,2014
Color,,,ComedyDramaFantasy,,September,8.1,125,OMG: Oh My God!,2012
Color,25000000,$,AdventureComedyCrime,R,March,8.1,99,The Grand Budapest Hotel,2014
Color,61000000,$,DramaMysteryThriller,R,October,8.1,149,Gone Girl,2014
Color,,,AnimationDramaFantasy,PG,July,8.1,117,Wolf Children,2012
Color,40000000,$,BiographyDramaHistoryWar,R,November,8.1,139,Hacksaw Ridge,2016
Color,175000000,$,AdventureAnimationComedyDramaFamilyFantasy,PG,June,8.1,95,Inside Out,2015
Color,300000000,INR,ComedyDramaRomance,,September,8.1,151,Barfi!,2012
Color,20000000,$,BiographyDramaHistory,R,October,8.1,134,12 Years a Slave,2013
Color,38000000,$,ActionBiographyDramaSport,R,September,8.1,123,Rush,2013
Color,97600000,$,ActionBiographyDramaSport,PG-13,November,8.1,152,Ford v Ferrari,2019
Color,20000000,$,BiographyCrimeDrama,R,November,8.1,129,Spotlight,2015
Color,5300000,EUR,AdventureAnimationDramaFamilyFantasy,PG,December,8.1,93,Song of the Sea,2014
Color,,,MysteryThriller,,March,8.1,122,Kahaani,2012
Color,,,Drama,,July,8.1,134,Udaan,2010
Color,550000000,INR,ComedyDrama,,July,8.1,155,Zindagi Na Milegi Dobara,2011
Color,46000000,$,CrimeDramaMysteryThriller,R,September,8.1,153,Prisoners,2013
Color,150000000,$,ActionAdventureSci-FiThriller,R,May,8.1,120,Mad Max: Fury Road,2015
